id,role,version,category,file_path,expected,actual,exact_match,norm_exact_match,char_distance,expected_chars,cer,audio_ms,first_partial_ms,final_latency_ms
principal_001,principal,standard,tts-baseline,C:/Users/lixiaofeng/Repos/flowrium-voice/audio/standard/principal/principal_001.wav,打开学校今日运行数据大屏。,打开学校今日运行数据大,False,False,1,12,0.0833,2838.4,377.6,6281.9
principal_002,principal,standard,tts-baseline,C:/Users/lixiaofeng/Repos/flowrium-voice/audio/standard/principal/principal_002.wav,切换到校长驾驶舱首页。,切换到校长驾驶舱首,False,False,1,10,0.1,2455.6,21.8,3007.7
principal_003,principal,standard,tts-baseline,C:/Users/lixiaofeng/Repos/flowrium-voice/audio/standard/principal/principal_003.wav,帮我打开学校运行总览。,帮我打开学校运行总,False,False,1,10,0.1,2358.2,24.7,2677.0
principal_004,principal,standard,tts-baseline,C:/Users/lixiaofeng/Repos/flowrium-voice/audio/standard/principal/principal_004.wav,我想看一下今天的学校整体情况。,我想看一下今天的学校整体情,False,False,1,14,0.0714,3127.7,23.3,2710.6
principal_005,principal,standard,tts-baseline,C:/Users/lixiaofeng/Repos/flowrium-voice/audio/standard/principal/principal_005.wav,打开校长驾驶舱里的学校运行总览页。,打开校长驾驶舱里的学校运行总览,False,False,1,16,0.0625,3604.6,23.3,3135.5
principal_006,principal,standard,tts-baseline,C:/Users/lixiaofeng/Repos/flowrium-voice/audio/standard/principal/principal_006.wav,看学校总览。,看学校,False,False,2,5,0.4,1258.5,25.8,3253.0
principal_007,principal,standard,tts-baseline,C:/Users/lixiaofeng/Repos/flowrium-voice/audio/standard/principal/principal_007.wav,查看今天全校学生到校情况。,查看今天全校学生到校情,False,False,1,12,0.0833,3166.6,31.1,5722.2
principal_008,principal,standard,tts-baseline,C:/Users/lixiaofeng/Repos/flowrium-voice/audio/standard/principal/principal_008.wav,查询本周各年级学生出勤率。,查询本周各年级学生出,False,False,2,12,0.1667,2678.9,25.0,1303.2
principal_009,principal,standard,tts-baseline,C:/Users/lixiaofeng/Repos/flowrium-voice/audio/standard/principal/principal_009.wav,帮我看一下今天全校到校情况。,帮我看一下今天全校道笑情,False,False,3,13,0.2308,3101.3,22.9,919.3
principal_010,principal,standard,tts-baseline,C:/Users/lixiaofeng/Repos/flowrium-voice/audio/standard/principal/principal_010.wav,我想查一下这周各年级的出勤率。,我想查一下这周各年级的出,False,False,2,14,0.1429,2860.6,24.2,1602.2
principal_011,principal,standard,tts-baseline,C:/Users/lixiaofeng/Repos/flowrium-voice/audio/standard/principal/principal_011.wav,查一下七年级和八年级今天的到校情况。,查一下七年级和八年级今天的到校情,False,False,1,17,0.0588,3781.9,27.3,1229.7
principal_012,principal,standard,tts-baseline,C:/Users/lixiaofeng/Repos/flowrium-voice/audio/standard/principal/principal_012.wav,看今天到校。,看今天到,False,False,1,5,0.2,1246.9,24.0,58.2
principal_013,principal,standard,tts-baseline,C:/Users/lixiaofeng/Repos/flowrium-voice/audio/standard/principal/principal_013.wav,查看本月教师考勤异常统计。,查看本月教师考勤异常统,False,False,1,12,0.0833,2795.0,23.3,2812.1
principal_014,principal,standard,tts-baseline,C:/Users/lixiaofeng/Repos/flowrium-voice/audio/standard/principal/principal_014.wav,查询本月教师授课课时统计。,查询本月教师授课课师,False,False,3,12,0.25,2841.4,24.0,488.5
principal_015,principal,standard,tts-baseline,C:/Users/lixiaofeng/Repos/flowrium-voice/audio/standard/principal/principal_015.wav,帮我看一下这个月教师考勤异常。,帮我看一下这个月教师考勤异,False,False,1,14,0.0714,3008.4,24.4,2948.1
principal_016,principal,standard,tts-baseline,C:/Users/lixiaofeng/Repos/flowrium-voice/audio/standard/principal/principal_016.wav,我想查查本学期教师的授课课时。,我想查查本学期教师的授课课,False,False,1,14,0.0714,3336.7,29.6,2969.0
