# role|intent|variant_type|index|text
principal|overview|standard|001|打开学校今日运行数据大屏。
principal|overview|standard|002|切换到校长驾驶舱首页。
principal|overview|colloquial|003|帮我打开学校运行总览。
principal|overview|colloquial|004|我想看一下今天的学校整体情况。
principal|overview|entity|005|打开校长驾驶舱里的学校运行总览页。
principal|overview|short|006|看学校总览。
principal|attendance|standard|007|查看今天全校学生到校情况。
principal|attendance|standard|008|查询本周各年级学生出勤率。
principal|attendance|colloquial|009|帮我看一下今天全校到校情况。
principal|attendance|colloquial|010|我想查一下这周各年级的出勤率。
principal|attendance|entity|011|查一下七年级和八年级今天的到校情况。
principal|attendance|short|012|看今天到校。
principal|teacher_attendance|standard|013|查看本月教师考勤异常统计。
principal|teacher_attendance|standard|014|查询本月教师授课课时统计。
principal|teacher_attendance|colloquial|015|帮我看一下这个月教师考勤异常。
principal|teacher_attendance|colloquial|016|我想查查本学期教师的授课课时。
principal|teacher_attendance|entity|017|看一下语文组和数学组教师本月考勤异常统计。
principal|teacher_attendance|short|018|查教师考勤异常。
principal|performance|standard|019|打开学校教学质量分析报表。
principal|performance|standard|020|查看各年级最近一次考试平均分。
principal|performance|colloquial|021|帮我打开教学质量分析。
principal|performance|colloquial|022|我想看一下最近一次考试的年级平均分。
principal|performance|entity|023|把七年级和八年级最近一次考试平均分对比一下。
principal|performance|short|024|看成绩分析。
principal|security|standard|025|查看学校本月安全巡检情况。
principal|security|standard|026|查看本周学生违纪情况汇总。
principal|security|colloquial|027|帮我看一下这个月学校安全巡检情况。
principal|security|colloquial|028|我想查一下这周学生违纪汇总。
principal|security|entity|029|教学楼A栋这周的安全巡检情况怎么样。
principal|security|short|030|看安全巡检。
principal|device|standard|031|查询今天校园设备运行状态。
principal|device|standard|032|查看学校食堂今日用餐统计。
principal|device|colloquial|033|帮我查一下今天校园设备运行情况。
principal|device|colloquial|034|我想看一下今天食堂用餐统计。
principal|device|entity|035|看一下图书馆和实验楼的设备运行状态。
principal|device|short|036|查设备状态。
principal|moral_education|standard|037|打开德育管理统计大屏。
principal|moral_education|standard|038|查看各班级综合评价排名。
principal|moral_education|colloquial|039|帮我打开德育管理统计大屏。
principal|moral_education|colloquial|040|我想看一下各班综合评价排名。
principal|moral_education|entity|041|查一下七年级一班和七年级二班的综合评价排名。
principal|moral_education|short|042|看德育统计。
principal|enrollment|standard|043|打开学校招生数据分析页面。
principal|enrollment|standard|044|查询本学期学生流失预警名单。
principal|enrollment|colloquial|045|帮我打开招生数据分析。
principal|enrollment|colloquial|046|我想查一下这学期学生流失预警。
principal|enrollment|entity|047|看一下一年级新生招生数据分析页面。
principal|enrollment|short|048|看招生分析。
principal|parent_communication|standard|049|查看本月家校沟通情况统计。
principal|parent_communication|standard|050|查看各学科教学任务完成情况。
principal|parent_communication|colloquial|051|帮我看一下这个月家校沟通统计。
principal|parent_communication|colloquial|052|我想查查各学科教学任务完成情况。
principal|parent_communication|entity|053|看一下英语学科本月教学任务完成情况。
principal|parent_communication|short|054|看家校沟通统计。
principal|briefing|standard|055|生成本周学校运行情况简报。
principal|briefing|standard|056|对比本学期各年级成绩变化趋势。
principal|briefing|colloquial|057|帮我生成这周学校运行简报。
principal|briefing|colloquial|058|我想看一下这学期各年级成绩趋势。
principal|briefing|entity|059|生成一份包含七年级和八年级数据的学校周简报。
principal|briefing|short|060|生成学校简报。
director|workspace|standard|001|打开年级管理工作台。
director|workspace|standard|002|返回主任工作台首页。
director|workspace|colloquial|003|帮我打开年级管理工作台。
director|workspace|colloquial|004|我想回到主任工作台首页。
director|workspace|entity|005|切到七年级管理工作台首页。
director|workspace|short|006|打开主任工作台。
director|student_attendance|standard|007|查看今天本年级学生出勤情况。
director|student_attendance|standard|008|查询本周各班级迟到人数。
director|student_attendance|colloquial|009|帮我看一下今天本年级的出勤情况。
director|student_attendance|colloquial|010|我想查一下这周各班迟到人数。
director|student_attendance|entity|011|查一下七年级一班今天的出勤情况。
director|student_attendance|short|012|看年级出勤。
director|leave|standard|013|查看今天请假的学生名单。
director|leave|standard|014|打开本年级学生预警名单。
director|leave|colloquial|015|帮我看一下今天请假的学生都有谁。
director|leave|colloquial|016|我想查查本年级需要预警的学生。
director|leave|entity|017|看一下七年级三班今天请假的学生名单。
director|leave|short|018|看请假名单。
director|score_analysis|standard|019|打开本年级考试成绩分析。
director|score_analysis|standard|020|对比各班级语文平均分。
director|score_analysis|colloquial|021|帮我打开本年级成绩分析。
director|score_analysis|colloquial|022|我想看一下各班语文平均分对比。
director|score_analysis|entity|023|把七年级一班和七年级二班的语文平均分对比一下。
director|score_analysis|short|024|看成绩对比。
director|discipline|standard|025|查看各班级纪律扣分统计。
director|discipline|standard|026|打开学生违纪处理记录。
director|discipline|colloquial|027|帮我看一下各班纪律扣分情况。
